conferenceId,chairId,authorId
c79,chair0,a2516
c4,chair1,a10418
c87,chair2,a1549
c0,chair3,a6360
c25,chair4,a6349
c82,chair5,a9804
c115,chair6,a3123
c75,chair7,a7976
c73,chair8,a1254
c1,chair9,a1655
c106,chair10,a627
c2,chair11,a7241
c80,chair12,a7052
c61,chair13,a1156
c3,chair14,a7176
c103,chair15,a4337
c14,chair16,a2666
c37,chair17,a4535
c55,chair18,a4570
c108,chair19,a8424
c109,chair20,a10256
c31,chair21,a1462
c1,chair22,a6083
c91,chair23,a8545
c37,chair24,a6436
c113,chair25,a5602
c3,chair26,a4811
c11,chair27,a1885
c5,chair28,a9708
c76,chair29,a6
c116,chair30,a8930
c4,chair31,a2007
c70,chair32,a5511
c98,chair33,a4378
c13,chair34,a8996
c1,chair35,a461
c4,chair36,a9166
c104,chair37,a2873
c36,chair38,a5993
c20,chair39,a95
c85,chair40,a3209
c61,chair41,a2980
c18,chair42,a4387
c46,chair43,a9708
c5,chair44,a29
c76,chair45,a9328
c51,chair46,a3554
c117,chair47,a2588
c100,chair48,a4663
c24,chair49,a8161
c6,chair50,a1892
c44,chair51,a6356
c7,chair52,a3661
c23,chair53,a8415
c10,chair54,a7288
c75,chair55,a727
c8,chair56,a7141
c24,chair57,a6423
c9,chair58,a9827
c54,chair59,a2512
c26,chair60,a607
c5,chair61,a4409
c12,chair62,a6887
c87,chair63,a3810
c39,chair64,a3864
c113,chair65,a6430
c10,chair66,a2856
c59,chair67,a657
c11,chair68,a2784
c110,chair69,a4437
c95,chair70,a1323
c96,chair71,a3026
c12,chair72,a3763
c88,chair73,a5813
c105,chair74,a6909
c66,chair75,a2880
c92,chair76,a6480
c54,chair77,a3590
c13,chair78,a6597
c57,chair79,a2048
c14,chair80,a9168
c85,chair81,a2551
c95,chair82,a1915
c71,chair83,a2740
c26,chair84,a660
c5,chair85,a6419
c34,chair86,a7304
c76,chair87,a6807
c46,chair88,a9067
c15,chair89,a5050
c14,chair90,a5340
c16,chair91,a9844
c80,chair92,a5299
c100,chair93,a3759
c80,chair94,a10544
c0,chair95,a3266
c26,chair96,a2838
c54,chair97,a10353
c78,chair98,a2991
c52,chair99,a2725
c111,chair100,a2912
c48,chair101,a9732
c17,chair102,a8939
c111,chair103,a315
c103,chair104,a4353
c83,chair105,a3175
c25,chair106,a6474
c8,chair107,a10490
c18,chair108,a2727
c98,chair109,a1266
c54,chair110,a9201
c102,chair111,a3500
c11,chair112,a5770
c105,chair113,a7789
c3,chair114,a9259
c7,chair115,a4718
c44,chair116,a6347
c32,chair117,a10183
c46,chair118,a3901
c58,chair119,a10530
c54,chair120,a6760
c97,chair121,a3194
c9,chair122,a4785
c24,chair123,a9096
c80,chair124,a1166
c95,chair125,a10033
c36,chair126,a7114
c59,chair127,a10270
c5,chair128,a1447
c9,chair129,a1195
c88,chair130,a8454
c5,chair131,a5300
c37,chair132,a8231
c64,chair133,a6163
c63,chair134,a868
c64,chair135,a5734
c19,chair136,a10123
c116,chair137,a6585
c33,chair138,a9609
c51,chair139,a1505
c56,chair140,a1728
c81,chair141,a1846
c9,chair142,a7539
c43,chair143,a5964
c44,chair144,a6304
c92,chair145,a5532
c35,chair146,a10050
c61,chair147,a431
c115,chair148,a8005
c57,chair149,a6837
c9,chair150,a8023
c5,chair151,a3398
c109,chair152,a5164
c4,chair153,a3370
c20,chair154,a7100
c61,chair155,a3625
c75,chair156,a4729
c61,chair157,a3152
c10,chair158,a7043
c88,chair159,a2851
c21,chair160,a7843
c9,chair161,a2984
c69,chair162,a7089
c92,chair163,a3422
c46,chair164,a4515
c102,chair165,a5560
c92,chair166,a6649
c51,chair167,a8284
c116,chair168,a9979
c101,chair169,a8200
c21,chair170,a863
c77,chair171,a2594
c53,chair172,a8677
c92,chair173,a3401
c72,chair174,a5524
c22,chair175,a8501
c8,chair176,a981
c76,chair177,a9081
c23,chair178,a6247
c108,chair179,a1367
c93,chair180,a2202
c107,chair181,a4055
c39,chair182,a510
c2,chair183,a3557
c75,chair184,a3263
c41,chair185,a7629
c83,chair186,a1771
c41,chair187,a835
c9,chair188,a3663
c94,chair189,a4385
c50,chair190,a624
c78,chair191,a1881
c47,chair192,a2437
c24,chair193,a8704
c36,chair194,a3497
c77,chair195,a6275
c23,chair196,a4900
c30,chair197,a596
c21,chair198,a2235
c25,chair199,a9886
c39,chair200,a8794
c12,chair201,a8284
c71,chair202,a6102
c26,chair203,a10440
c101,chair204,a2153
c104,chair205,a893
c119,chair206,a8873
c6,chair207,a386
c28,chair208,a6545
c72,chair209,a777
c95,chair210,a2378
c9,chair211,a3118
c121,chair212,a3589
c53,chair213,a27
c24,chair214,a5561
c72,chair215,a6762
c73,chair216,a1036
c56,chair217,a2979
c117,chair218,a7991
c102,chair219,a366
c111,chair220,a7392
c75,chair221,a1378
c2,chair222,a8682
c50,chair223,a5122
c25,chair224,a7826
c43,chair225,a9278
c108,chair226,a10478
c113,chair227,a7287
c73,chair228,a5798
c24,chair229,a9942
c66,chair230,a7422
c119,chair231,a7137
c2,chair232,a6542
c103,chair233,a9048
c72,chair234,a5454
c97,chair235,a10242
c16,chair236,a10512
c98,chair237,a2587
c106,chair238,a3049
c41,chair239,a572
c111,chair240,a846
