journalId,editorId,authorId
j0,editor0,a116
j1,editor1,a10433
j2,editor2,a804
j3,editor3,a4326
j4,editor4,a1838
j5,editor5,a4106
j6,editor6,a3634
j7,editor7,a7464
j8,editor8,a3184
j7,editor9,a9085
j9,editor10,a4169
j10,editor11,a9944
j11,editor12,a7221
j12,editor13,a4068
j13,editor14,a1742
j14,editor15,a4398
j15,editor16,a7903
j16,editor17,a9801
j17,editor18,a2257
j18,editor19,a2792
j19,editor20,a943
j20,editor21,a2189
j13,editor22,a9038
j21,editor23,a6243
j22,editor24,a399
j4,editor25,a8965
j23,editor26,a2517
j24,editor27,a6829
j25,editor28,a2347
j21,editor29,a9977
j21,editor30,a3253
j26,editor31,a88
j12,editor32,a1431
j27,editor33,a7720
j28,editor34,a9903
j29,editor35,a5984
j30,editor36,a6620
j31,editor37,a5936
j32,editor38,a1805
j33,editor39,a7154
j34,editor40,a9000
j35,editor41,a9671
j36,editor42,a1010
j6,editor43,a3479
j37,editor44,a588
j38,editor45,a2616
j39,editor46,a3147
j40,editor47,a3235
j38,editor48,a4272
j41,editor49,a6803
j42,editor50,a532
j17,editor51,a8716
j43,editor52,a1121
j44,editor53,a4663
j4,editor54,a1857
j12,editor55,a98
j45,editor56,a3190
j46,editor57,a4236
j47,editor58,a725
j48,editor59,a3514
j13,editor60,a4267
j49,editor61,a9256
j23,editor62,a3810
j50,editor63,a8692
j51,editor64,a2416
j52,editor65,a4596
j53,editor66,a9384
j54,editor67,a6537
j54,editor68,a771
j13,editor69,a8637
j55,editor70,a5029
j56,editor71,a567
j57,editor72,a5411
j58,editor73,a5857
j59,editor74,a8415
j60,editor75,a7513
j23,editor76,a3104
j12,editor77,a2804
j59,editor78,a9953
j61,editor79,a2283
j62,editor80,a5749
j63,editor81,a10153
j64,editor82,a9959
j65,editor83,a580
j66,editor84,a6362
j67,editor85,a5173
j41,editor86,a6381
j62,editor87,a9615
j68,editor88,a5826
j69,editor89,a1469
j59,editor90,a7239
j70,editor91,a1447
j71,editor92,a10157
j72,editor93,a6965
j73,editor94,a4957
j72,editor95,a6744
j74,editor96,a9932
j75,editor97,a5561
j76,editor98,a3247
j13,editor99,a10066
j77,editor100,a439
j78,editor101,a5761
j79,editor102,a2088
j80,editor103,a7749
j81,editor104,a94
j82,editor105,a2381
j60,editor106,a1443
j81,editor107,a8235
j81,editor108,a9821
j83,editor109,a10372
j23,editor110,a3426
j84,editor111,a6992
j85,editor112,a8483
j86,editor113,a7451
j87,editor114,a6776
j88,editor115,a6949
j89,editor116,a3235
j90,editor117,a10546
j91,editor118,a7590
j92,editor119,a238
j93,editor120,a5991
j94,editor121,a1077
j66,editor122,a2490
j95,editor123,a10147
j96,editor124,a2594
j60,editor125,a5314
j48,editor126,a2120
j97,editor127,a4204
j98,editor128,a4433
j99,editor129,a6087
j100,editor130,a6715
j101,editor131,a871
j102,editor132,a10096
j103,editor133,a9599
j104,editor134,a8145
j105,editor135,a3884
j19,editor136,a5032
j106,editor137,a1940
j59,editor138,a3554
j107,editor139,a10420
j108,editor140,a6815
j109,editor141,a1995
j60,editor142,a987
j80,editor143,a4713
j110,editor144,a8493
j7,editor145,a2293
j30,editor146,a899
j4,editor147,a788
j104,editor148,a4402
j0,editor149,a10330
j111,editor150,a1178
j112,editor151,a10489
j113,editor152,a5797
j114,editor153,a2247
j115,editor154,a5043
j116,editor155,a2698
j117,editor156,a1078
j64,editor157,a5610
j118,editor158,a7236
j17,editor159,a9255
j119,editor160,a685
j120,editor161,a9030
j121,editor162,a6134
j64,editor163,a10461
j122,editor164,a5065
j123,editor165,a3436
j124,editor166,a8658
j125,editor167,a3342
j126,editor168,a630
j104,editor169,a2579
j127,editor170,a9100
j128,editor171,a1701
j129,editor172,a7016
j104,editor173,a4713
j110,editor174,a5204
j23,editor175,a9940
j130,editor176,a4236
j131,editor177,a3200
j66,editor178,a2573
j16,editor179,a8241
j111,editor180,a9556
j104,editor181,a923
j8,editor182,a7599
j8,editor183,a8005
j132,editor184,a7104
j133,editor185,a2621
j4,editor186,a7911
j50,editor187,a6978
j19,editor188,a8578
j19,editor189,a4426
j134,editor190,a4593
j135,editor191,a4042
j136,editor192,a1293
j137,editor193,a9449
j104,editor194,a10533
j138,editor195,a10457
j139,editor196,a3876
j7,editor197,a10323
j140,editor198,a1529
j141,editor199,a9062
j142,editor200,a8090
j135,editor201,a480
j59,editor202,a4192
j143,editor203,a2047
j19,editor204,a9447
j144,editor205,a392
j145,editor206,a6068
j146,editor207,a4843
j104,editor208,a7909
j89,editor209,a8701
j17,editor210,a8584
j147,editor211,a2764
j109,editor212,a2815
j148,editor213,a4394
j111,editor214,a2382
j104,editor215,a925
j149,editor216,a6096
j104,editor217,a10088
j64,editor218,a2044
j44,editor219,a5605
j104,editor220,a2350
j17,editor221,a6223
j104,editor222,a744
j149,editor223,a2654
