journalId,journalUrl,journalTitle,journalVolumeIds
j0,458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology,jv0
j1,759663ae-c1b4-41ef-9231-384ab473d4b4,Journal of Organizational and End User Computing,jv1
j2,cfb7bc3b-4dad-4d1f-aea6-f5d1f2499ce8,Synthese,jv2
j3,0a96e67f-c1f1-491d-ab41-4c2c50b523a2,Genome Research,jv3
j4,c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering,jv4
j5,7a7dc89b-e1a6-44df-a496-46c330a87840,SN Computer Science,jv5
j6,41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology,jv6
j7,d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data,jv7
j8,099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods,jv8
j9,b3a217d4-f456-4394-9e5b-b39ab19d1b3e,Irish Journal of Medical Science,jv9
j10,f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews,jv10
j11,c2a5f1b5-0985-40d1-a768-3a736af75f5e,Journal of Surgical Oncology,jv11
j12,4d9ce1c4-dc84-46b9-903e-e3751c00c7dd,Communications of the ACM,jv12
j13,c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis,jv13
j14,3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence,jv14
j15,6fff9d04-a29e-4e37-87e8-27e06da9055c,Journal on spesial topics in mobile networks and applications,jv15
j16,79af09a2-54e8-4f97-8edf-9fba208ab744,International Journal of Digital Earth,jv16
j17,4d899b46-b5c8-436e-8ce3-084673ea8905,Big Data & Society,jv17
j18,1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,IEEE Transactions on Signal Processing,jv18
j19,62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data,jv19
j20,7fac555d-41ef-410c-9c84-ed584a9cff7f,Journal of Geographical Systems,jv20
j21,961301b0-6f5a-44a6-9216-54b673cded78,Journal of Statistics and Data Science Education,jv21
j22,17bac89e-3dba-467a-b9d4-71e3baefb08b,Patterns,jv22
j23,bb95bf2e-8383-4748-bf9d-d6906d091085,Proceedings of the National Academy of Sciences of the United States of America,jv23
j24,aa746a02-d187-42c2-bdf9-df6a5d4e648c,Computer/law journal,jv24
j25,27475f31-a1d2-401b-84ad-9b405c7609a8,Journal of Epidemiology and Community Health,jv25
j26,92d34d37-5c4b-4e11-b461-9041b7de4c2d,Philosophical Transactions of the Royal Society of London. Biological Sciences,jv26
j27,349a6ffc-3527-4d3d-aef4-8372fbc1a084,Engineering,jv27
j28,09bb329a-45bc-4561-860f-c8ac0e958895,Ethics and Information Technology,jv28
j29,ee1b24c6-e4e7-4f90-af25-166a9eff8e3a,Small Business Economics,jv29
j30,c0ded351-0e49-473e-816e-23b84c9f8dd3,Frontiers in Environmental Science,jv30
j31,55511511-6974-4037-92a4-aec79ba003fe,Metabolomics,jv31
j32,3fe65a3e-606b-4377-8de1-b3f779646e1e,"Annual review of political science (Palo Alto, Calif. Print)",jv32
j33,d949c7f0-1213-4a16-a6ab-134862369b91,Journal of Library and Information Sciences,jv33
j34,2baad992-2268-4c38-9120-e453622f2eeb,Journal of Medical Internet Research,jv34
j35,bc30f894-9a9c-440e-8420-7bd3c5624384,The Journal of the Learning Sciences,jv35
j36,bf228014-e6ea-4397-96c9-3fd22beb2f75,British Journal of Educational Technology,jv36
j37,e4c9326f-17a0-48c8-85c6-2975945f4395,Journal of Biosciences,jv37
j38,93a7b6aa-3a96-4e75-a837-cbd3660e8a72,Geographical Analysis,jv38
j39,ed4bb98c-600b-477e-9e9a-653127045ec0,CHANCE : New Directions for Statistics and Computing,jv39
j40,70337d1b-fdf7-4fcb-b391-e096feba3748,BMC Medicine,jv40
j41,8b172637-3435-4dd3-a753-5035b814ff39,American Statistician,jv41
