reviewId,paperId,reviewText,reviewDecision,paperTitle
r0,p0,Review Comment,1,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2"
r1,p1,Review Comment,1,High-Dimensional Probability: An Introduction with Applications in Data Science
r2,p2,Review Comment,1,The Role of ChatGPT in Data Science: How AI-Assisted Conversational Interfaces Are Revolutionizing the Field
r3,p3,Review Comment,1,What is Data Science?
r4,p4,Review Comment,1,DS-1000: A Natural and Reliable Benchmark for Data Science Code Generation
r5,p5,Review Comment,0,"Data Science: 8th International Conference of Pioneering Computer Scientists, Engineers and Educators, ICPCSEE 2022, Chengdu, China, August 19–22, 2022, Proceedings, Part II"
r6,p6,Review Comment,1,The R Language: An Engine for Bioinformatics and Data Science
r7,p7,Review Comment,1,"Smart Health Intelligent Healthcare Systems in the Metaverse, Artificial Intelligence, and Data Science Era"
r8,p8,Review Comment,1,The case for data science in experimental chemistry: examples and recommendations
r9,p9,Review Comment,0,Epistemic injustice and data science technologies
r10,p10,Review Comment,1,Foundations of Data Science
r11,p11,Review Comment,1,Diversifying the genomic data science research community
r12,p12,Review Comment,1,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories
r13,p13,Review Comment,1,"Data Science and Analytics: An Overview from Data-Driven Smart Computing, Decision-Making and Applications Perspective"
r14,p14,Review Comment,1,Eleven grand challenges in single-cell data science
r15,p15,Review Comment,1,"Machine Learning in Python: Main developments and technology trends in data science, machine learning, and artificial intelligence"
r16,p16,Review Comment,1,Cybersecurity data science: an overview from machine learning perspective
r17,p17,Review Comment,1,Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl
r18,p18,Review Comment,1,Data science approach to stock prices forecasting in Indonesia during Covid-19 using Long Short-Term Memory (LSTM)
r19,p19,Review Comment,1,AutoDS: Towards Human-Centered Automation of Data Science
r20,p20,Review Comment,1,"The role of data science in healthcare advancements: applications, benefits, and future prospects"
r21,p21,Review Comment,0,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning
r22,p22,Review Comment,1,Spectral Methods for Data Science: A Statistical Perspective
r23,p23,Review Comment,0,"The Art and Practice of Data Science Pipelines: A Comprehensive Study of Data Science Pipelines In Theory, In-The-Small, and In-The-Large"
r24,p24,Review Comment,1,Surgical data science and artificial intelligence for surgical education
r25,p25,Review Comment,1,Data Science
r26,p26,Review Comment,1,Automating data science
r27,p27,Review Comment,0,Data science: a game changer for science and innovation
r28,p28,Review Comment,1,Data science
r29,p29,Review Comment,1,Data Science in the Food Industry.
r30,p30,Review Comment,1,"How do Data Science Workers Collaborate? Roles, Workflows, and Tools"
r31,p31,Review Comment,0,Leveraging Data Science to Combat COVID-19: A Comprehensive Review
r32,p32,Review Comment,1,"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science"
r33,p33,Review Comment,1,"Mobile Data Science and Intelligent Apps: Concepts, AI-Based Modeling and Research Directions"
r34,p34,Review Comment,1,Finding Related Tables in Data Lakes for Interactive Data Science
r35,p35,Review Comment,1,A new paradigm for accelerating clinical data science at Stanford Medicine
r36,p36,Review Comment,0,Supervised and Unsupervised Learning for Data Science
r37,p37,Review Comment,1,Big Earth Data science: an information framework for a sustainable planet
r38,p38,Review Comment,0,Data science in economics: comprehensive review of advanced machine learning and deep learning methods
r39,p39,Review Comment,1,Making data science systems work
r40,p40,Review Comment,1,Fixed Point Strategies in Data Science
r41,p41,Review Comment,1,Heidelberg colorectal data set for surgical data science in the sensor operating room
r42,p42,Review Comment,1,Human-AI Collaboration in Data Science
r43,p43,Review Comment,1,Opening practice: supporting reproducibility and critical spatial data science
r44,p44,Review Comment,0,"How Data Science Workers Work with Data: Discovery, Capture, Curation, Design, Creation"
r45,p45,Review Comment,1,Process Mining for Python (PM4Py): Bridging the Gap Between Process- and Data Science
r46,p46,Review Comment,1,Ten simple rules for writing Dockerfiles for reproducible data science
r47,p47,Review Comment,1,Data science and AI in FinTech: an overview
r48,p48,Review Comment,1,A Systematic Review on Supervised and Unsupervised Machine Learning Algorithms for Data Science
r49,p49,Review Comment,1,Vamsa: Automated Provenance Tracking in Data Science Scripts
