volumeId,volumeName,volumeYear
jv0,journal0,2023
jv1,journal1,2021
jv2,journal2,2020
jv3,journal3,2022
jv4,journal4,2020
jv5,journal5,2021
jv6,journal6,2023
jv7,journal7,2022
jv8,journal8,2021
jv9,journal9,2020
jv10,journal10,2021
jv11,journal11,2023
jv12,journal12,2020
jv13,journal13,2020
jv14,journal14,2023
jv15,journal15,2022
jv16,journal16,2020
jv17,journal17,2023
jv18,journal18,2020
jv19,journal19,2020
jv20,journal20,2021
jv21,journal21,2022
jv22,journal22,2021
jv23,journal23,2022
jv24,journal24,2021
jv25,journal25,2022
jv26,journal26,2021
jv27,journal27,2023
jv28,journal28,2020
jv29,journal29,2021
jv30,journal30,2023
jv31,journal31,2020
jv32,journal32,2022
jv33,journal33,2022
jv34,journal34,2020
jv35,journal35,2022
jv36,journal36,2022
jv37,journal37,2021
jv38,journal38,2022
jv39,journal39,2021
jv40,journal40,2023
jv41,journal41,2021
jv42,journal42,2022
jv43,journal43,2021
jv44,journal44,2023
jv45,journal45,2023
jv46,journal46,2023
jv47,journal47,2023
jv48,journal48,2023
jv49,journal49,2021
jv50,journal50,2022
jv51,journal51,2021
jv52,journal52,2020
jv53,journal53,2021
jv54,journal54,2023
jv55,journal55,2022
jv56,journal56,2020
jv57,journal57,2020
jv58,journal58,2020
jv59,journal59,2020
jv60,journal60,2023
jv61,journal61,2021
jv62,journal62,2020
jv63,journal63,2022
jv64,journal64,2022
jv65,journal65,2021
jv66,journal66,2021
jv67,journal67,2023
jv68,journal68,2023
jv69,journal69,2020
jv70,journal70,2020
jv71,journal71,2023
jv72,journal72,2020
jv73,journal73,2023
jv74,journal74,2020
jv75,journal75,2023
jv76,journal76,2020
jv77,journal77,2020
jv78,journal78,2021
jv79,journal79,2020
jv80,journal80,2020
jv81,journal81,2020
jv82,journal82,2021
jv83,journal83,2022
jv84,journal84,2023
jv85,journal85,2022
jv86,journal86,2020
jv87,journal87,2023
jv88,journal88,2021
jv89,journal89,2020
jv90,journal90,2023
jv91,journal91,2020
jv92,journal92,2022
jv93,journal93,2020
jv94,journal94,2020
jv95,journal95,2022
jv96,journal96,2023
jv97,journal97,2023
jv98,journal98,2023
jv99,journal99,2020
jv100,journal100,2020
jv101,journal101,2021
jv102,journal102,2020
jv103,journal103,2020
jv104,journal104,2022
jv105,journal105,2022
jv106,journal106,2020
jv107,journal107,2020
jv108,journal108,2023
jv109,journal109,2020
jv110,journal110,2020
jv111,journal111,2023
jv112,journal112,2021
jv113,journal113,2022
jv114,journal114,2021
jv115,journal115,2023
jv116,journal116,2022
jv117,journal117,2020
jv118,journal118,2022
jv119,journal119,2022
jv120,journal120,2023
jv121,journal121,2020
jv122,journal122,2022
jv123,journal123,2021
jv124,journal124,2020
jv125,journal125,2023
jv126,journal126,2021
jv127,journal127,2020
jv128,journal128,2021
jv129,journal129,2022
jv130,journal130,2022
jv131,journal131,2023
jv132,journal132,2022
jv133,journal133,2020
jv134,journal134,2021
jv135,journal135,2022
jv136,journal136,2022
jv137,journal137,2023
jv138,journal138,2023
jv139,journal139,2023
jv140,journal140,2020
jv141,journal141,2022
jv142,journal142,2022
jv143,journal143,2023
jv144,journal144,2022
jv145,journal145,2023
jv146,journal146,2020
jv147,journal147,2022
jv148,journal148,2023
jv149,journal149,2023
jv150,journal150,2022
jv151,journal151,2021
jv152,journal152,2023
jv153,journal153,2023
jv154,journal154,2023
jv155,journal155,2021
jv156,journal156,2022
jv157,journal157,2022
jv158,journal158,2022
jv159,journal159,2023
jv160,journal160,2023
jv161,journal161,2021
jv162,journal162,2022
jv163,journal163,2023
jv164,journal164,2020
jv165,journal165,2020
jv166,journal166,2020
jv167,journal167,2023
jv168,journal168,2021
jv169,journal169,2020
jv170,journal170,2021
jv171,journal171,2023
jv172,journal172,2022
jv173,journal173,2022
jv174,journal174,2022
jv175,journal175,2020
jv176,journal176,2022
jv177,journal177,2020
jv178,journal178,2021
jv179,journal179,2022
jv180,journal180,2021
jv181,journal181,2023
jv182,journal182,2022
jv183,journal183,2023
jv184,journal184,2023
jv185,journal185,2021
jv186,journal186,2021
jv187,journal187,2023
jv188,journal188,2020
jv189,journal189,2023
jv190,journal190,2022
jv191,journal191,2021
jv192,journal192,2021
jv193,journal193,2023
jv194,journal194,2022
jv195,journal195,2023
jv196,journal196,2021
jv197,journal197,2023
jv198,journal198,2023
jv199,journal199,2022
jv200,journal200,2022
jv201,journal201,2023
jv202,journal202,2020
jv203,journal203,2021
jv204,journal204,2023
jv205,journal205,2020
jv206,journal206,2020
jv207,journal207,2022
jv208,journal208,2023
jv209,journal209,2020
jv210,journal210,2022
jv211,journal211,2022
jv212,journal212,2020
jv213,journal213,2020
jv214,journal214,2022
jv215,journal215,2020
jv216,journal216,2022
jv217,journal217,2021
jv218,journal218,2022
jv219,journal219,2020
jv220,journal220,2021
jv221,journal221,2021
jv222,journal222,2022
jv223,journal223,2020
jv224,journal224,2021
jv225,journal225,2020
jv226,journal226,2020
jv227,journal227,2023
jv228,journal228,2022
jv229,journal229,2023
jv230,journal230,2023
jv231,journal231,2020
jv232,journal232,2022
jv233,journal233,2022
jv234,journal234,2023
jv235,journal235,2020
jv236,journal236,2023
jv237,journal237,2023
jv238,journal238,2022
jv239,journal239,2022
jv240,journal240,2021
jv241,journal241,2020
jv242,journal242,2021
jv243,journal243,2021
jv244,journal244,2022
jv245,journal245,2022
jv246,journal246,2021
jv247,journal247,2021
jv248,journal248,2020
jv249,journal249,2023
jv250,journal250,2021
jv251,journal251,2020
jv252,journal252,2023
jv253,journal253,2022
jv254,journal254,2020
jv255,journal255,2023
jv256,journal256,2020
jv257,journal257,2022
jv258,journal258,2020
jv259,journal259,2021
jv260,journal260,2020
jv261,journal261,2023
jv262,journal262,2020
jv263,journal263,2020
jv264,journal264,2021
jv265,journal265,2022
jv266,journal266,2023
jv267,journal267,2021
jv268,journal268,2020
jv269,journal269,2023
jv270,journal270,2022
jv271,journal271,2022
jv272,journal272,2023
jv273,journal273,2020
jv274,journal274,2020
jv275,journal275,2022
jv276,journal276,2021
jv277,journal277,2022
jv278,journal278,2023
jv279,journal279,2021
jv280,journal280,2021
jv281,journal281,2020
jv282,journal282,2023
jv283,journal283,2020
jv284,journal284,2023
jv285,journal285,2022
jv286,journal286,2020
jv287,journal287,2023
jv288,journal288,2023
jv289,journal289,2023
jv290,journal290,2020
jv291,journal291,2023
jv292,journal292,2022
jv293,journal293,2023
jv294,journal294,2022
jv295,journal295,2022
jv296,journal296,2021
jv297,journal297,2023
jv298,journal298,2023
jv299,journal299,2022
jv300,journal300,2023
jv301,journal301,2021
jv302,journal302,2023
jv303,journal303,2021
jv304,journal304,2023
jv305,journal305,2022
jv306,journal306,2020
jv307,journal307,2023
jv308,journal308,2021
jv309,journal309,2020
jv310,journal310,2020
jv311,journal311,2023
jv312,journal312,2022
jv313,journal313,2022
jv314,journal314,2023
jv315,journal315,2021
jv316,journal316,2022
jv317,journal317,2022
jv318,journal318,2021
jv319,journal319,2021
