authorId,authorUrl,authorName
a0,6391996,E. Bolyen
a1,6307534,J. Rideout
a2,40950692,Matthew R. Dillon
a3,4230536,N. Bokulich
a4,5538503,C. Abnet
a5,1402012502,G. Al-Ghalith
a6,39168440,Harriet Alexander
a7,1777308,E. Alm
a8,144893958,M. Arumugam
a9,3088847,F. Asnicar
a10,2115297093,Yang Bai
a11,39497753,J. Bisanz
a12,2027458,K. Bittinger
a13,4347079,A. Brejnrod
a14,4373110,Colin J. Brislawn
a15,2107517217,C. T. Brown
a16,2923325,B. Callahan
a17,1401984320,A. Caraballo-Rodríguez
a18,4011830,John H. Chase
a19,36248090,E. Cope
a20,39269675,R. D. da Silva
a21,48958834,C. Diener
a22,2975900,P. Dorrestein
a23,144528092,G. Douglas
a24,5307931,D. Durall
a25,32381467,C. Duvallet
a26,31909725,C. Edwardson
a27,144110054,Madeleine Ernst
a28,6199292,M. Estaki
a29,4324350,J. Fouquier
a30,147069795,J. Gauglitz
a31,6533031,S. Gibbons
a32,32145672,D. Gibson
a33,144359100,Antonio Gonzalez
a34,84717638,Kestrel Gorlick
a35,5409083,Jiarong Guo
a36,32326419,Benjamin M Hillmann
a37,32750186,S. Holmes
a38,51357334,H. Holste
a39,2194791,C. Huttenhower
a40,2306305,G. Huttley
a41,1938854376,Stefan Janssen
a42,4376295,A. Jarmusch
a43,14215968,Lingjing Jiang
a44,51396990,Benjamin D. Kaehler
a45,144664874,K. Kang
a46,1410118534,Christopher R. Keefe
a47,1978283,P. Keim
a48,2654622,S. Kelley
a49,144064820,D. Knights
a50,48888354,I. Koester
a51,2395456,T. Kosciólek
a52,1410137287,Jorden Kreps
a53,144015417,M. Langille
a54,48174487,Joslynn S. Lee
a55,145061660,R. Ley
a56,2186737813,Yong-xin Liu
a57,4244834,E. Loftfield
a58,2345044,C. Lozupone
a59,8504175,Massoud Maher
a60,3968465,C. Marotz
a61,152943696,Bryan D. Martin
a62,145345295,Daniel McDonald
a63,1854342,L. McIver
a64,145073266,A. Melnik
a65,47746992,J. Metcalf
a66,32552772,S. C. Morgan
a67,34024444,James T. Morton
a68,1410137379,Ahmad Turan Naimey
a69,1401282143,Jose A. Navas-Molina
a70,10790574,L. Nothias
a71,51403558,Stephanie B. Orchanian
a72,21366050,T. Pearson
a73,1414102859,Samuel L. Peoples
a74,4019733,D. Petráš
a75,6845076,M. Preuss
a76,2079716,E. Pruesse
a77,84419869,Lasse Buur Rasmussen
a78,6103924,A. Rivers
a79,31808306,M. Robeson
a80,145394064,P. Rosenthal
a81,47429813,N. Segata
a82,49576568,M. Shaffer
a83,4379902,A. Shiffer
a84,145604360,R. Sinha
a85,3931190,Se Jin Song
a86,5725804,J. Spear
a87,5084447,Austin D. Swafford
a88,24195448,Luke R. Thompson
a89,47263947,P. Torres
a90,49368223,Pauline Trinh
a91,143863611,A. Tripathi
a92,2404698,P. Turnbaugh
