journalId,journalUrl,journalTitle,journalVolumeIds
j0,458166b3-de17-4bf3-bbbb-e53782de2f0f,Nature Biotechnology,jv0
j1,c6840156-ee10-4d78-8832-7f8909811576,IEEE Transactions on Knowledge and Data Engineering,jv1
j2,7a7dc89b-e1a6-44df-a496-46c330a87840,SN Computer Science,jv2
j3,6076bd95-0124-4b5d-8346-476b7287818c,"Shanlax International Journal of Arts, Science and Humanities",jv3
j4,18be6e14-0ac5-454e-b78d-100e2dddd04e,"International Journal of Advanced Research in Science, Communication and Technology",jv4
j5,41dbb273-8d18-4a45-8154-852882a37b34,Genome Biology,jv5
j6,099483df-e8f2-4bee-805d-8a69f07b6cbf,Nature Methods,jv6
j7,c3875580-2cce-4a95-a094-fff60bb381b9,International Journal of Data Science and Analysis,jv7
j8,d60da343-ab92-4310-b3d7-2c0860287a9d,Journal of Big Data,jv8
j9,3c27e831-750f-45bc-9914-2148a5259eba,IEEE Transactions on Artificial Intelligence,jv9
j10,f458795b-af97-4b7c-ba4e-d57bbb57f90a,Chemical Reviews,jv10
j11,79af09a2-54e8-4f97-8edf-9fba208ab744,International Journal of Digital Earth,jv11
j12,7fac555d-41ef-410c-9c84-ed584a9cff7f,Journal of Geographical Systems,jv12
j13,1f6f3f05-6a23-42f0-8d31-98ab8089c1f2,IEEE Transactions on Signal Processing,jv13
j14,62924b2a-8fb8-4b93-92c6-735516b49af0,Scientific Data,jv14
j15,27475f31-a1d2-401b-84ad-9b405c7609a8,Journal of Epidemiology and Community Health,jv15
j16,8b172637-3435-4dd3-a753-5035b814ff39,American Statistician,jv16
j17,961301b0-6f5a-44a6-9216-54b673cded78,Journal of Statistics and Data Science Education,jv17
j18,17bac89e-3dba-467a-b9d4-71e3baefb08b,Patterns,jv18
j19,aa746a02-d187-42c2-bdf9-df6a5d4e648c,Computer/law journal,jv19
j20,bb95bf2e-8383-4748-bf9d-d6906d091085,Proceedings of the National Academy of Sciences of the United States of America,jv20
j21,92d34d37-5c4b-4e11-b461-9041b7de4c2d,Philosophical Transactions of the Royal Society of London. Biological Sciences,jv21
j22,70337d1b-fdf7-4fcb-b391-e096feba3748,BMC Medicine,jv22
j23,09bb329a-45bc-4561-860f-c8ac0e958895,Ethics and Information Technology,jv23
j24,55511511-6974-4037-92a4-aec79ba003fe,Metabolomics,jv24
