reviewId,paperId,reviewText,reviewDecision,reviewDecisionBoolean,paperTitle
r0,p0,Review content,accepted,1,"Reproducible, interactive, scalable and extensible microbiome data science using QIIME 2"
r1,p1,Review content,rejected,0,High-Dimensional Probability: An Introduction with Applications in Data Science
r2,p2,Review content,accepted,1,CRISP-DM Twenty Years Later: From Data Mining Processes to Data Science Trajectories
r3,p3,Review content,accepted,1,AutoDS: Towards Human-Centered Automation of Data Science
r4,p4,Review content,rejected,0,"Data Science and Analytics: An Overview from Data-Driven Smart Computing, Decision-Making and Applications Perspective"
r5,p5,Review content,accepted,1,Computational Optimal Transport: With Applications to Data Science
r6,p6,Review content,accepted,1,Data Science
r7,p7,Review content,accepted,1,Data Science
r8,p8,Review content,accepted,1,Eleven grand challenges in single-cell data science
r9,p9,Review content,accepted,1,Computing competencies for undergraduate data science curricula
r10,p10,Review content,accepted,1,Nucleus segmentation across imaging experiments: the 2018 Data Science Bowl
r11,p11,Review content,accepted,1,Foundations of Data Science
r12,p12,Review content,accepted,1,Data science: a game changer for science and innovation
r13,p13,Review content,rejected,0,"QIIME 2: Reproducible, interactive, scalable, and extensible microbiome data science"
r14,p14,Review content,accepted,1,Cybersecurity data science: an overview from machine learning perspective
r15,p15,Review content,accepted,1,Leveraging Data Science to Combat COVID-19: A Comprehensive Review
r16,p16,Review content,accepted,1,"Machine Learning in Python: Main developments and technology trends in data science, machine learning, and artificial intelligence"
r17,p17,Review content,rejected,0,"How do Data Science Workers Collaborate? Roles, Workflows, and Tools"
r18,p18,Review content,accepted,1,Big-Data Science in Porous Materials: Materials Genomics and Machine Learning
r19,p19,Review content,accepted,1,Spectral Methods for Data Science: A Statistical Perspective
r20,p20,Review content,accepted,1,Finding Related Tables in Data Lakes for Interactive Data Science
r21,p21,Review content,accepted,1,Big Earth Data science: an information framework for a sustainable planet
r22,p22,Review content,accepted,1,Data science in economics: comprehensive review of advanced machine learning and deep learning methods
r23,p23,Review content,accepted,1,A new paradigm for accelerating clinical data science at Stanford Medicine
r24,p24,Review content,rejected,0,Opening practice: supporting reproducibility and critical spatial data science
r25,p25,Review content,accepted,1,Fixed Point Strategies in Data Science
r26,p26,Review content,accepted,1,Heidelberg colorectal data set for surgical data science in the sensor operating room
r27,p27,Review content,rejected,0,Making data science systems work
r28,p28,Review content,accepted,1,The Role of Academia in Data Science Education
r29,p29,Review content,accepted,1,Data Science: Challenges and Directions
