volumeId,volumeName,volumeYear
jv0,journal0,2024
jv1,journal1,2013
jv2,journal2,2006
jv3,journal3,2020
jv4,journal4,2014
jv5,journal5,2024
jv6,journal6,2019
jv7,journal7,2003
jv8,journal8,2020
jv9,journal9,2024
jv10,journal10,2010
jv11,journal11,2001
jv12,journal12,2019
jv13,journal13,2011
jv14,journal14,2021
jv15,journal15,2011
jv16,journal16,2003
jv17,journal17,2024
jv18,journal18,2013
jv19,journal19,2020
jv20,journal20,2012
jv21,journal21,2010
jv22,journal22,2020
jv23,journal23,2006
jv24,journal24,2008
jv25,journal25,2006
jv26,journal26,2010
jv27,journal27,2004
jv28,journal28,2018
jv29,journal29,2002
jv30,journal30,2008
jv31,journal31,2019
jv32,journal32,2024
jv33,journal33,2003
jv34,journal34,2014
jv35,journal35,2007
jv36,journal36,2019
jv37,journal37,2019
jv38,journal38,2015
jv39,journal39,2019
jv40,journal40,2001
jv41,journal41,2013
jv42,journal42,2007
jv43,journal43,2011
jv44,journal44,2019
jv45,journal45,2007
jv46,journal46,2017
jv47,journal47,2019
jv48,journal48,2011
jv49,journal49,2002
jv50,journal50,2022
jv51,journal51,2023
jv52,journal52,2019
jv53,journal53,2002
jv54,journal54,2002
jv55,journal55,2019
jv56,journal56,2012
jv57,journal57,2013
jv58,journal58,2011
jv59,journal59,2020
jv60,journal60,2021
jv61,journal61,2006
jv62,journal62,2006
jv63,journal63,2004
jv64,journal64,2020
jv65,journal65,2012
jv66,journal66,2006
jv67,journal67,2001
jv68,journal68,2024
jv69,journal69,2018
jv70,journal70,2017
jv71,journal71,2012
jv72,journal72,2003
jv73,journal73,2013
jv74,journal74,2015
jv75,journal75,2019
jv76,journal76,2012
jv77,journal77,2002
jv78,journal78,2005
jv79,journal79,2015
jv80,journal80,2023
jv81,journal81,2016
jv82,journal82,2020
jv83,journal83,2015
jv84,journal84,2024
jv85,journal85,2015
jv86,journal86,2020
jv87,journal87,2006
jv88,journal88,2012
jv89,journal89,2014
jv90,journal90,2011
jv91,journal91,2018
jv92,journal92,2017
jv93,journal93,2015
jv94,journal94,2013
jv95,journal95,2007
jv96,journal96,2004
jv97,journal97,2014
jv98,journal98,2021
jv99,journal99,2005
jv100,journal100,2002
jv101,journal101,2006
jv102,journal102,2021
jv103,journal103,2021
jv104,journal104,2007
jv105,journal105,2019
jv106,journal106,2014
jv107,journal107,2012
jv108,journal108,2018
jv109,journal109,2013
jv110,journal110,2002
jv111,journal111,2020
jv112,journal112,2002
jv113,journal113,2006
jv114,journal114,2010
jv115,journal115,2008
jv116,journal116,2002
jv117,journal117,2019
jv118,journal118,2006
jv119,journal119,2004
jv120,journal120,2021
jv121,journal121,2019
jv122,journal122,2012
jv123,journal123,2006
jv124,journal124,2010
jv125,journal125,2002
jv126,journal126,2013
jv127,journal127,2020
jv128,journal128,2014
jv129,journal129,2003
jv130,journal130,2012
jv131,journal131,2007
jv132,journal132,2016
jv133,journal133,2006
jv134,journal134,2006
jv135,journal135,2013
jv136,journal136,2015
jv137,journal137,2011
jv138,journal138,2002
jv139,journal139,2006
jv140,journal140,2006
jv141,journal141,2019
jv142,journal142,2023
jv143,journal143,2014
jv144,journal144,2005
jv145,journal145,2017
jv146,journal146,2021
jv147,journal147,2023
jv148,journal148,2013
jv149,journal149,2004
jv150,journal150,2013
jv151,journal151,2004
jv152,journal152,2008
jv153,journal153,2004
jv154,journal154,2014
jv155,journal155,2024
jv156,journal156,2021
jv157,journal157,2010
jv158,journal158,2024
jv159,journal159,2010
jv160,journal160,2018
jv161,journal161,2021
jv162,journal162,2004
jv163,journal163,2012
jv164,journal164,2017
jv165,journal165,2020
jv166,journal166,2016
jv167,journal167,2020
jv168,journal168,2008
jv169,journal169,2018
jv170,journal170,2010
jv171,journal171,2001
jv172,journal172,2022
jv173,journal173,2006
jv174,journal174,2022
jv175,journal175,2013
jv176,journal176,2023
jv177,journal177,2008
jv178,journal178,2004
jv179,journal179,2017
jv180,journal180,2021
jv181,journal181,2016
jv182,journal182,2004
jv183,journal183,2019
jv184,journal184,2013
jv185,journal185,2019
jv186,journal186,2007
jv187,journal187,2010
jv188,journal188,2012
jv189,journal189,2003
jv190,journal190,2007
jv191,journal191,2020
jv192,journal192,2018
jv193,journal193,2017
jv194,journal194,2001
jv195,journal195,2003
jv196,journal196,2013
jv197,journal197,2002
jv198,journal198,2001
jv199,journal199,2021
jv200,journal200,2014
jv201,journal201,2011
jv202,journal202,2006
jv203,journal203,2024
jv204,journal204,2002
jv205,journal205,2012
jv206,journal206,2011
jv207,journal207,2021
jv208,journal208,2016
jv209,journal209,2006
jv210,journal210,2001
jv211,journal211,2007
jv212,journal212,2005
jv213,journal213,2010
jv214,journal214,2007
jv215,journal215,2008
jv216,journal216,2008
jv217,journal217,2013
jv218,journal218,2020
jv219,journal219,2018
jv220,journal220,2019
jv221,journal221,2020
jv222,journal222,2014
jv223,journal223,2018
jv224,journal224,2001
jv225,journal225,2005
jv226,journal226,2001
jv227,journal227,2004
jv228,journal228,2001
jv229,journal229,2002
jv230,journal230,2022
jv231,journal231,2006
jv232,journal232,2004
jv233,journal233,2023
jv234,journal234,2013
jv235,journal235,2003
jv236,journal236,2001
jv237,journal237,2022
jv238,journal238,2014
jv239,journal239,2024
jv240,journal240,2022
jv241,journal241,2006
jv242,journal242,2020
jv243,journal243,2014
jv244,journal244,2002
jv245,journal245,2018
jv246,journal246,2006
jv247,journal247,2002
jv248,journal248,2023
jv249,journal249,2013
jv250,journal250,2019
jv251,journal251,2015
jv252,journal252,2015
jv253,journal253,2011
jv254,journal254,2006
jv255,journal255,2002
jv256,journal256,2013
jv257,journal257,2021
jv258,journal258,2015
jv259,journal259,2016
jv260,journal260,2023
jv261,journal261,2023
jv262,journal262,2012
jv263,journal263,2022
jv264,journal264,2003
jv265,journal265,2005
jv266,journal266,2009
jv267,journal267,2009
jv268,journal268,2006
jv269,journal269,2003
jv270,journal270,2015
jv271,journal271,2001
jv272,journal272,2005
jv273,journal273,2009
jv274,journal274,2003
jv275,journal275,2017
jv276,journal276,2010
jv277,journal277,2005
jv278,journal278,2004
jv279,journal279,2018
jv280,journal280,2004
jv281,journal281,2010
jv282,journal282,2023
jv283,journal283,2020
jv284,journal284,2011
jv285,journal285,2001
jv286,journal286,2019
jv287,journal287,2009
jv288,journal288,2021
jv289,journal289,2017
jv290,journal290,2014
jv291,journal291,2017
jv292,journal292,2005
jv293,journal293,2023
jv294,journal294,2002
jv295,journal295,2021
jv296,journal296,2002
jv297,journal297,2020
jv298,journal298,2002
jv299,journal299,2021
jv300,journal300,2007
jv301,journal301,2018
jv302,journal302,2001
jv303,journal303,2007
jv304,journal304,2005
jv305,journal305,2010
jv306,journal306,2023
jv307,journal307,2014
jv308,journal308,2005
jv309,journal309,2001
jv310,journal310,2012
jv311,journal311,2017
jv312,journal312,2022
jv313,journal313,2023
jv314,journal314,2004
jv315,journal315,2016
jv316,journal316,2010
jv317,journal317,2015
jv318,journal318,2015
jv319,journal319,2006
jv320,journal320,2021
jv321,journal321,2005
jv322,journal322,2001
jv323,journal323,2013
jv324,journal324,2020
jv325,journal325,2005
jv326,journal326,2015
jv327,journal327,2022
jv328,journal328,2023
jv329,journal329,2006
jv330,journal330,2011
jv331,journal331,2017
jv332,journal332,2022
jv333,journal333,2016
jv334,journal334,2005
jv335,journal335,2002
jv336,journal336,2016
jv337,journal337,2019
jv338,journal338,2013
jv339,journal339,2006
jv340,journal340,2016
jv341,journal341,2023
jv342,journal342,2009
jv343,journal343,2007
jv344,journal344,2016
jv345,journal345,2017
jv346,journal346,2012
jv347,journal347,2021
jv348,journal348,2019
jv349,journal349,2018
jv350,journal350,2013
jv351,journal351,2005
jv352,journal352,2021
jv353,journal353,2011
jv354,journal354,2024
jv355,journal355,2011
jv356,journal356,2005
jv357,journal357,2002
jv358,journal358,2015
jv359,journal359,2002
jv360,journal360,2022
jv361,journal361,2011
jv362,journal362,2017
jv363,journal363,2017
jv364,journal364,2002
jv365,journal365,2013
jv366,journal366,2020
jv367,journal367,2003
jv368,journal368,2023
jv369,journal369,2024
jv370,journal370,2002
jv371,journal371,2005
jv372,journal372,2002
jv373,journal373,2001
jv374,journal374,2012
jv375,journal375,2014
jv376,journal376,2008
jv377,journal377,2022
jv378,journal378,2016
jv379,journal379,2019
jv380,journal380,2022
jv381,journal381,2024
jv382,journal382,2003
jv383,journal383,2004
